run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,shape_fit_attempted,shape_fit_resolved,shape_fit_nonconcave,shape_fit_failed,ulp_step_adjusted,eps_ulps_bumped,fit_fast_sec,fit_high_precision_sec,high_precision_points,hp_3point_attempted,hp_3point_resolved,hp_3point_failed,hp_flat_tol_scale
2026-04-30 23:44:47,985,30.131321,1.350775,31.482096,485091,691,0.652129817444,0,1,0,1,1,0,0,0,0,0.000000,0.115733,1,1,1,0,1.0e+32
2026-04-30 23:44:47,986,30.055488,1.376798,31.432286,486069,695,0.651975855776,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,987,30.186527,1.293076,31.479603,487063,705,0.651821862348,0,1,0,1,1,0,0,0,0,0.000000,0.115319,1,1,1,0,1.0e+32
2026-04-30 23:44:47,988,30.119349,1.294299,31.413648,488053,699,0.652173913043,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,989,31.247006,1.305875,32.552880,489031,693,0.652020372926,0,1,0,1,1,0,0,0,0,0.000000,0.122401,1,1,1,0,1.0e+32
2026-04-30 23:44:47,990,30.494939,1.403920,31.898859,490031,703,0.651866801211,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,991,30.512208,1.410594,31.922802,491009,697,0.651713879482,0,1,0,1,1,0,0,0,0,0.000000,0.117829,1,1,1,0,1.0e+32
2026-04-30 23:44:47,992,31.669695,1.354560,33.024255,492011,697,0.652064621092,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,993,30.890901,1.428151,32.319052,492981,706,0.651911468813,0,3,0,3,3,0,0,0,0,0.000000,0.237940,3,3,3,0,1.0e+32
2026-04-30 23:44:47,994,30.506272,1.385533,31.891805,493995,707,0.651758962812,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,995,30.559047,1.331915,31.890962,494995,707,0.652108602706,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,996,30.566215,1.317969,31.884184,495979,707,0.651955867603,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,997,31.745043,1.369658,33.114702,496977,699,0.651803775103,0,1,0,1,1,0,0,0,0,0.000000,0.124696,1,1,1,0,1.0e+32
2026-04-30 23:44:47,998,30.673641,1.429530,32.103170,497969,705,0.652152320168,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
2026-04-30 23:44:47,999,30.884034,1.419164,32.303198,498971,705,0.652000000000,0,2,0,2,2,0,0,0,0,0.000000,0.180386,2,2,2,0,1.0e+32
2026-04-30 23:44:47,1000,31.435837,1.398568,32.834406,499973,699,0.651848318791,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0,0,0,0,1.0e+32
