run_started_at,n,tie_idx,tie_index_signed,tie_p,i,j,anomaly_flags,eps_floor_hit,ulp_adjust_left,ulp_adjust_right,deadzone_used,deadzone_flat_side,methods_tried,deadzone_resolution,resolution_path,resolution_failure_reason,extremum_type,extremum_ambiguous,dir_change
2026-05-02 14:56:14,965,286378,53572,0.5692185854948536,378,715,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,971,281339,45629,0.55796976623382222,289,784,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,976,302875,64731,0.58225533503760141,318,804,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,977,95245,-143387,0.30272314829583935,58,583,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,977,95246,-143386,0.30272314829591068,22,645,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,977,382018,143386,0.69727685170408937,332,955,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,977,382019,143387,0.69727685170416054,394,919,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,978,95959,-143162,0.30359830909516744,180,423,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,978,95960,-143161,0.30359830909559438,199,401,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,978,382282,143161,0.69640169090440551,577,779,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,978,382283,143162,0.6964016909048325,555,798,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,979,194809,-44801,0.44405234989130715,222,655,"eps_floor,deadzone",1,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,979,194810,-44800,0.44405234989206754,306,566,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,minimum,0,1
2026-05-02 14:56:14,979,284410,44800,0.55594765010793246,413,673,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,minimum,0,1
2026-05-02 14:56:14,979,284411,44801,0.55594765010869285,324,757,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,981,257674,17084,0.52116629886482335,412,610,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,984,178117,-63947,0.4201625023852058,102,752,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,984,178118,-63946,0.42016250238595948,378,449,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,984,306010,63946,0.57983749761404046,535,606,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,984,306011,63947,0.5798374976147942,232,882,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,985,237952,-4604,0.49415854466105946,125,851,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,985,247160,4604,0.50584145533894054,134,860,deadzone,0,0,0,1,left,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,991,280641,35121,0.54263924264753927,233,831,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,995,35954,-211552,0.17953753104706524,126,235,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,995,35955,-211551,0.17953753104794157,17,401,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,995,459057,211551,0.82046246895205843,594,978,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,995,459058,211552,0.82046246895293484,760,869,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,996,127856,-120148,0.34661035431600062,105,618,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,996,127857,-120147,0.34661035431620046,302,389,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,996,190612,-57392,0.4303759894074598,75,814,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,996,190613,-57391,0.43037598940799088,223,643,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,996,305395,57391,0.56962401059200907,353,773,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,996,305396,57392,0.5696240105925402,182,921,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,996,368151,120147,0.65338964568379954,607,694,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,996,368152,120148,0.65338964568399938,378,891,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,998,303780,54779,0.56608217371142211,265,848,deadzone,0,0,0,1,right,float64_3point;hp_3point_mpmath,resolved,deadzone_hp3point,,neither,0,0
2026-05-02 14:56:14,1000,50034,-199966,0.21159269534098871,67,387,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,1000,50035,-199965,0.21159269534110708,152,275,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,1000,449965,199965,0.78840730465889297,725,848,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
2026-05-02 14:56:14,1000,449966,199966,0.78840730465901132,613,933,eps_floor,1,0,0,0,,,na,non_deadzone_fast,,neither,0,0
