run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,ulp_step_adjusted,hp_3point_sec,high_precision_points,hp_3point_attempted,hp_3point_resolved,hp_3point_failed,hp_flat_tol_scale
2026-05-02 12:27:57,392,4.235350,0.075958,4.311308,76833,275,0.652672845865,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,393,4.228446,0.091641,4.320087,77225,277,0.652284263959,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,394,4.072628,0.079605,4.152233,77619,271,0.651899806727,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,395,4.233158,0.072619,4.305777,78013,271,0.651515151515,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,396,4.125217,0.080228,4.205445,78409,285,0.652392947103,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,397,4.086308,0.084494,4.170803,78805,273,0.652011107625,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,398,4.055328,0.098789,4.154117,79203,273,0.651629072682,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,399,4.137556,0.095800,4.233356,79601,283,0.651251040535,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,400,4.018499,0.085761,4.104260,80001,275,0.652120743264,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,401,4.047671,0.084145,4.131816,80401,275,0.651741293532,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,402,4.101892,0.094152,4.196043,80803,283,0.651365790304,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,403,3.953974,0.079312,4.033286,81205,277,0.652228750741,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,404,3.957856,0.083301,4.041157,81609,289,0.651851851852,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,405,4.039506,0.102523,4.142029,82013,285,0.651478844348,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,406,4.005906,0.081531,4.087437,82419,275,0.651105651106,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,407,4.162589,0.087901,4.250490,82825,289,0.651960784314,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,408,4.183401,0.103836,4.287237,83233,293,0.651590239982,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,409,4.222731,0.098885,4.321616,83641,281,0.651219512195,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,410,4.148155,0.082394,4.230548,84051,295,0.650852563974,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,411,4.261579,0.078435,4.340015,84461,285,0.651700013431,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,412,4.311982,0.115560,4.427543,84873,281,0.651331719128,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,413,4.589422,0.082931,4.672353,85285,295,0.650967152736,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,414,4.607200,0.094794,4.701994,85699,291,0.651808199874,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,415,4.713005,0.095750,4.808756,86113,291,0.651442307692,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,416,4.726739,0.107900,4.834640,86529,289,0.651080092816,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,417,4.871909,0.113696,4.985605,86945,287,0.651914833478,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,418,5.191309,0.150981,5.342290,87363,291,0.651551312649,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,419,5.113209,0.173504,5.286712,87781,293,0.651191419540,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,420,5.156226,0.083073,5.239299,88201,289,0.650833850495,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,421,4.953043,0.116034,5.069077,88621,299,0.651658767773,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,422,4.987858,0.096598,5.084456,89043,295,0.651301167234,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,423,5.034413,0.110066,5.144479,89465,285,0.650945859792,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,424,5.015445,0.090991,5.106435,89889,299,0.651764705882,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,425,4.912752,0.100692,5.013444,90313,301,0.651409369256,0,1,0,0,0.041095,1,1,1,0,1.0e+12
2026-05-02 12:27:57,426,4.823627,0.111215,4.934842,90739,297,0.651056295373,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,427,4.774484,0.092213,4.866698,91165,305,0.651869158879,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,428,4.854175,0.103977,4.958153,91593,299,0.651516058032,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,429,4.844025,0.098191,4.942216,92021,293,0.651162790698,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,430,4.814482,0.097553,4.912035,92451,301,0.651972157773,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,431,4.925290,0.105565,5.030856,92881,301,0.651621265087,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,432,4.942765,0.111272,5.054037,93313,303,0.651270207852,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,433,4.746899,0.095762,4.842661,93745,305,0.650922540569,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,434,4.882199,0.093510,4.975709,94179,301,0.651725021076,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,435,4.778382,0.097614,4.875997,94613,307,0.651376146789,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,436,4.755964,0.090073,4.846037,95049,307,0.651030618552,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,437,4.706011,0.092076,4.798087,95485,305,0.651827355813,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,438,4.785154,0.091390,4.876545,95923,307,0.651480637813,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,440,4.698685,0.094771,4.793457,96801,313,0.651928298304,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,439,4.766025,0.099020,4.865046,96361,307,0.651137222806,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,441,4.799612,0.105147,4.904759,97241,309,0.651583710407,0,0,0,0,0.000000,0,0,0,0,1.0e+12
