run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points
2026-04-30 15:54:35,211,0.174686,0.033286,0.207971,22261
2026-04-30 15:54:35,210,0.180810,0.035898,0.216708,22049
2026-04-30 15:54:35,212,0.189447,0.034102,0.223549,22473
2026-04-30 15:54:35,213,0.190795,0.057437,0.248232,22685
2026-04-30 15:54:35,214,0.208862,0.033555,0.242417,22899
2026-04-30 15:54:35,215,0.208039,0.035645,0.243684,23113
2026-04-30 15:54:35,216,0.207156,0.035977,0.243133,23329
2026-04-30 15:54:35,217,0.213449,0.032999,0.246448,23543
2026-04-30 15:54:35,218,0.220427,0.038262,0.258689,23763
2026-04-30 15:54:35,219,0.216816,0.039272,0.256088,23981
2026-04-30 15:54:35,220,0.217815,0.037935,0.255750,24201
2026-04-30 15:54:35,221,0.210949,0.038533,0.249482,24421
2026-04-30 15:54:35,222,0.207244,0.041595,0.248840,24643
2026-04-30 15:54:35,223,0.206266,0.048889,0.255155,24865
2026-04-30 15:54:35,224,0.202947,0.036188,0.239135,25089
2026-04-30 15:54:35,225,0.204554,0.039113,0.243667,25311
2026-04-30 15:54:35,226,0.210657,0.038065,0.248723,25539
2026-04-30 15:54:35,227,0.214970,0.042993,0.257962,25765
2026-04-30 15:54:35,228,0.221626,0.039525,0.261151,25993
2026-04-30 15:54:35,229,0.228335,0.039792,0.268128,26221
2026-04-30 15:54:35,230,0.210952,0.057065,0.268017,26451
2026-04-30 15:54:35,231,0.225327,0.057727,0.283054,26681
2026-04-30 15:54:35,232,0.247221,0.048648,0.295869,26913
2026-04-30 15:54:35,233,0.227954,0.058538,0.286492,27145
2026-04-30 15:54:35,234,0.232671,0.052212,0.284884,27379
2026-04-30 15:54:35,235,0.243628,0.047034,0.290663,27613
2026-04-30 15:54:35,236,0.249378,0.042854,0.292233,27849
2026-04-30 15:54:35,237,0.252343,0.041537,0.293880,28085
2026-04-30 15:54:35,238,0.231639,0.044590,0.276230,28323
2026-04-30 15:54:35,239,0.239067,0.052496,0.291563,28561
2026-04-30 15:54:35,240,0.236933,0.053524,0.290457,28799
2026-04-30 15:54:35,241,0.231742,0.049422,0.281164,29041
2026-04-30 15:54:35,242,0.252034,0.049422,0.301456,29283
2026-04-30 15:54:35,243,0.244501,0.057018,0.301519,29525
2026-04-30 15:54:35,244,0.248568,0.048855,0.297424,29769
2026-04-30 15:54:35,245,0.236486,0.063910,0.300396,30013
2026-04-30 15:54:35,246,0.266312,0.052894,0.319207,30259
2026-04-30 15:54:35,247,0.281509,0.054855,0.336364,30505
2026-04-30 15:54:35,248,0.271803,0.056528,0.328331,30753
2026-04-30 15:54:35,249,0.270354,0.062131,0.332486,31001
2026-04-30 15:54:35,250,0.278998,0.054871,0.333869,31251
2026-04-30 15:54:35,251,0.281746,0.053615,0.335361,31501
2026-04-30 15:54:35,252,0.278026,0.053591,0.331617,31753
2026-04-30 15:54:35,253,0.267552,0.052467,0.320019,32005
2026-04-30 15:54:35,254,0.260481,0.068249,0.328730,32259
2026-04-30 15:54:35,255,0.300974,0.051273,0.352248,32511
2026-04-30 15:54:35,256,0.284493,0.055914,0.340407,32769
2026-04-30 15:54:35,257,0.290607,0.057419,0.348026,33025
2026-04-30 15:54:35,258,0.296356,0.062440,0.358797,33283
2026-04-30 15:54:35,259,0.281012,0.089163,0.370176,33541
2026-04-30 15:54:35,260,0.295757,0.066476,0.362234,33801
2026-04-30 15:54:35,261,0.322446,0.058604,0.381050,34061
2026-04-30 15:54:35,262,0.325740,0.061011,0.386751,34323
2026-04-30 15:54:35,263,0.310486,0.062365,0.372851,34585
2026-04-30 15:54:35,264,0.311297,0.055249,0.366546,34849
