run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,shape_fit_attempted,shape_fit_resolved,shape_fit_nonconcave,shape_fit_failed,ulp_step_adjusted,eps_ulps_bumped
2026-04-30 16:19:46,52,0.062953,0.002987,0.065940,1353,39,0.651002545650,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,54,0.059717,0.003668,0.063385,1459,33,0.645507095818,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,55,0.071547,0.011241,0.082788,1513,43,0.651839049187,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,56,0.071151,0.003622,0.074773,1569,41,0.649122807018,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,57,0.070944,0.003395,0.074338,1625,35,0.646599400197,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,58,0.074209,0.003788,0.077997,1683,45,0.652590708539,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,59,0.076742,0.003158,0.079899,1741,41,0.650000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,60,0.075971,0.004222,0.080193,1801,39,0.647584430346,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,61,0.081629,0.003271,0.084900,1861,49,0.653269812876,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,62,0.077935,0.005309,0.083243,1923,43,0.650793650794,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,63,0.082778,0.004220,0.086999,1985,43,0.648477253975,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,64,0.084115,0.004784,0.088899,2049,49,0.646153846154,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,65,0.086109,0.005715,0.091824,2113,45,0.651515151515,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,66,0.093440,0.003861,0.097302,2179,45,0.649290242425,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,67,0.098033,0.008902,0.106934,2245,47,0.647058823529,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,68,0.100365,0.004077,0.104442,2313,43,0.644960777192,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,69,0.098412,0.004804,0.103217,2381,53,0.650033648122,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,70,0.108382,0.004590,0.112972,2451,51,0.647887323944,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,71,0.116854,0.004646,0.121500,2521,45,0.645864087486,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,72,0.118545,0.004850,0.123395,2593,57,0.650716039690,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,73,0.122106,0.004879,0.126985,2665,51,0.648648648649,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,74,0.110827,0.005846,0.116674,2739,45,0.646695201560,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,75,0.114983,0.005210,0.120194,2813,59,0.651344634060,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,77,0.115276,0.005879,0.121155,2965,49,0.647462443786,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,76,0.121945,0.005940,0.127885,2889,53,0.649350649351,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,78,0.116693,0.006271,0.122964,3043,63,0.651925552938,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,79,0.133992,0.006153,0.140145,3121,55,0.650000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,80,0.128979,0.006560,0.135539,3201,53,0.648172905924,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,81,0.143933,0.014994,0.158927,3281,63,0.652464023011,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,82,0.144964,0.015190,0.160154,3363,55,0.650602409639,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,83,0.143222,0.006446,0.149668,3445,55,0.648832667165,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,85,0.142330,0.007189,0.149519,3613,55,0.651162790698,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,84,0.144172,0.007456,0.151628,3529,63,0.647118281824,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,86,0.154004,0.008352,0.162356,3699,65,0.649446968641,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,87,0.148522,0.007070,0.155592,3785,61,0.647727272727,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,88,0.155776,0.007429,0.163206,3873,59,0.651685393258,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,89,0.161683,0.007640,0.169323,3961,65,0.650020353055,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,90,0.170853,0.007990,0.178843,4051,65,0.648351648352,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,91,0.177194,0.008913,0.186107,4141,59,0.646758103918,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,92,0.170813,0.008059,0.178872,4233,69,0.650556777280,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,93,0.181791,0.007915,0.189706,4325,65,0.648936170213,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,94,0.184765,0.014785,0.199551,4419,63,0.647386305776,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,95,0.182845,0.008289,0.191134,4513,75,0.651059703863,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,96,0.195993,0.011396,0.207390,4609,65,0.649484536082,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,97,0.207955,0.020812,0.228767,4705,71,0.647976070321,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,98,0.209870,0.016209,0.226079,4803,75,0.651532175883,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,99,0.207304,0.009479,0.216783,4901,65,0.650000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,100,0.219024,0.009194,0.228218,5001,67,0.648530820990,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,101,0.225478,0.017274,0.242752,5101,77,0.651976878618,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,102,0.212859,0.009852,0.222711,5203,65,0.650485436893,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,103,0.236107,0.009452,0.245559,5305,73,0.649053586354,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,104,0.219973,0.009494,0.229466,5409,79,0.652396190632,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,105,0.222139,0.022921,0.245060,5513,71,0.650943396226,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,106,0.228041,0.026358,0.254398,5619,77,0.649547055457,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,107,0.254301,0.009746,0.264047,5725,77,0.652792226356,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,108,0.248025,0.012475,0.260500,5833,75,0.651376146789,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,109,0.252925,0.010386,0.263311,5941,79,0.650013624101,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,110,0.259936,0.010665,0.270601,6051,77,0.648683954550,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,111,0.259313,0.011135,0.270447,6161,81,0.651785714286,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,112,0.275611,0.011386,0.286997,6273,83,0.650455433764,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,113,0.271078,0.011063,0.282141,6385,77,0.649122807018,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,114,0.278663,0.012016,0.290679,6499,81,0.652173913043,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,115,0.269644,0.011471,0.281115,6613,85,0.650874404477,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,116,0.269411,0.013600,0.283011,6729,79,0.649572649573,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,117,0.273773,0.013039,0.286812,6845,79,0.648316764240,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,118,0.285711,0.012837,0.298548,6963,89,0.651272262728,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,119,0.293637,0.013787,0.307425,7081,81,0.650000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,120,0.290234,0.012924,0.303158,7201,81,0.648771478766,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,121,0.297237,0.012919,0.310156,7321,89,0.651650565254,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,122,0.305002,0.013185,0.318187,7443,83,0.650406504065,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,123,0.312592,0.014570,0.327162,7565,87,0.649204200578,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,124,0.312485,0.013469,0.325954,7689,87,0.648027693015,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,125,0.326556,0.013894,0.340451,7813,87,0.650793650794,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,126,0.327186,0.027875,0.355060,7939,91,0.649616487669,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,127,0.364749,0.015485,0.380234,8065,89,0.648464002879,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,128,0.357156,0.016707,0.373864,8193,89,0.651162790698,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,129,0.347262,0.022871,0.370133,8321,91,0.650009754257,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,130,0.364870,0.014338,0.379208,8451,87,0.648854961832,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,131,0.373246,0.015698,0.388944,8581,91,0.651515151515,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,132,0.372537,0.014985,0.387522,8713,93,0.650385286995,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,133,0.366154,0.015276,0.381430,8845,93,0.649253731343,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,134,0.417873,0.026189,0.444062,8979,91,0.651851851852,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,135,0.455337,0.015970,0.471307,9111,95,0.650744259039,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,136,0.441136,0.016002,0.457138,9249,95,0.649635036496,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,137,0.455369,0.016261,0.471630,9385,95,0.652173913043,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,138,0.459974,0.017599,0.477574,9523,99,0.651087742296,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,139,0.458345,0.016612,0.474957,9661,95,0.650000000000,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,140,0.464207,0.017818,0.482025,9801,99,0.648944391507,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,141,0.473127,0.017251,0.490378,9941,99,0.651416718111,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,142,0.419899,0.018384,0.438283,10083,99,0.650349650350,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,144,0.442356,0.017590,0.459947,10369,109,0.651732086639,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,143,0.435667,0.026704,0.462371,10225,99,0.649313461217,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,145,0.446772,0.017720,0.464492,10513,101,0.650684931507,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,146,0.459606,0.031434,0.491040,10659,101,0.649667471744,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,147,0.450664,0.018003,0.468667,10805,109,0.652034675070,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,148,0.468085,0.020669,0.488755,10953,99,0.651006711409,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,149,0.487792,0.021751,0.509543,11101,105,0.650007326401,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,150,0.483255,0.027749,0.511005,11251,109,0.652325244875,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,151,0.475134,0.022934,0.498067,11401,101,0.651315789474,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,152,0.500748,0.026753,0.527502,11553,109,0.650333857666,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,153,0.501159,0.021249,0.522408,11705,109,0.652604498205,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,155,0.514919,0.023221,0.538140,12013,119,0.650647833998,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,154,0.529460,0.022880,0.552340,11859,103,0.651612903226,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,156,0.526899,0.025613,0.552512,12169,107,0.649699319716,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,157,0.540008,0.022908,0.562916,12325,109,0.651898734177,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,158,0.530182,0.025530,0.555712,12483,119,0.650949965867,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,159,0.587235,0.025955,0.613190,12641,111,0.650017173667,0,0,0,0,0,0,0,0,0
2026-04-30 16:19:46,160,0.589027,0.024673,0.613700,12801,111,0.652173913043,0,0,0,0,0,0,0,0,0
